Month,Year,PRODUCTS,TRADE,"Quantity (000 Metric Tonnes)","Value in Rupees (Crore)","Value in Dollars (Million US dollar)",date_updated
September,2022,"TOTAL  PRODUCT EXPORT",Export,4987.15,35344.14,4409.62,"2023-11-11 04:00:12"
September,2022,"NET IMPORT",Export,14946.05,74666.67,9264.87,"2023-11-11 04:00:12"
October,2022,"CRUDE OIL",Import,18123.45,99194.38,12086.55,"2023-11-11 04:00:12"
October,2022,LPG,Import,1374.06,6611.22,804.95,"2023-11-11 04:00:12"
October,2022,MS,Import,327.48,2433.86,295.82,"2023-11-11 04:00:12"
October,2022,Naphtha,Import,134.80,636.94,77.28,"2023-11-11 04:00:12"
October,2022,ATF,Import,,,,"2023-11-11 04:00:12"
October,2022,HSD,Import,10.22,91.97,11.17,"2023-11-11 04:00:12"
October,2022,"LOBS/ Lube oil",Import,212.25,1887.51,229.29,"2023-11-11 04:00:12"
October,2022,"Fuel Oil",Import,654.76,2472.89,300.61,"2023-11-11 04:00:12"
October,2022,Bitumen,Import,226.00,773.73,93.97,"2023-11-11 04:00:12"
October,2022,Petcoke,Import,855.05,1587.72,192.82,"2023-11-11 04:00:12"
October,2022,Others&,Import,96.27,604.48,73.42,"2023-11-11 04:00:12"
October,2022,"PRODUCT IMPORT*",Import,3890.89,17100.32,2079.34,"2023-11-11 04:00:12"
October,2022,"TOTAL IMPORT",Import,22014.34,116294.70,14165.89,"2023-11-11 04:00:12"
October,2022,LPG,Export,42.77,274.94,33.51,"2023-11-11 04:00:12"
October,2022,MS!,Export,499.71,3302.35,401.99,"2023-11-11 04:00:12"
October,2022,Naphtha$,Export,371.58,2009.05,244.07,"2023-11-11 04:00:12"
October,2022,ATF#,Export,639.48,5347.42,650.00,"2023-11-11 04:00:12"
October,2022,SKO,Export,0.72,6.42,0.78,"2023-11-11 04:00:12"
October,2022,HSD,Export,2062.15,17901.67,2174.84,"2023-11-11 04:00:12"
October,2022,LDO,Export,0.15,1.26,0.16,"2023-11-11 04:00:12"
October,2022,"LOBS/ Lube Oil",Export,0.47,7.89,0.96,"2023-11-11 04:00:12"
October,2022,"Fuel Oil",Export,229.38,968.50,117.40,"2023-11-11 04:00:12"
October,2022,Bitumen,Export,2.13,10.96,1.34,"2023-11-11 04:00:12"
October,2022,"Petcoke / CBFS",Export,,,,"2023-11-11 04:00:12"
October,2022,Others%,Export,123.09,852.02,103.31,"2023-11-11 04:00:12"
October,2022,"TOTAL  PRODUCT EXPORT",Export,3971.63,30682.49,3728.38,"2023-11-11 04:00:12"
October,2022,"NET IMPORT",Export,18042.71,85612.21,10437.51,"2023-11-11 04:00:12"
November,2022,"CRUDE OIL",Import,19003.28,100258.76,12252.89,"2023-11-11 04:00:12"
November,2022,LPG,Import,1778.00,9200.65,1120.34,"2023-11-11 04:00:12"
November,2022,MS,Import,211.36,1527.15,185.57,"2023-11-11 04:00:12"
November,2022,Naphtha,Import,27.56,173.61,21.19,"2023-11-11 04:00:12"
November,2022,ATF,Import,,,,"2023-11-11 04:00:12"
November,2022,HSD,Import,6.62,66.54,8.13,"2023-11-11 04:00:12"
November,2022,"LOBS/ Lube oil",Import,159.27,1420.51,173.54,"2023-11-11 04:00:12"
November,2022,"Fuel Oil",Import,568.74,2037.90,248.84,"2023-11-11 04:00:12"
November,2022,Bitumen,Import,345.95,1092.41,133.51,"2023-11-11 04:00:12"
November,2022,Petcoke,Import,846.85,1709.94,209.01,"2023-11-11 04:00:12"
