Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
24-APR-2023,9208.15,9231.1,9168.2,9226.4,1018929955,34072.85
25-APR-2023,9235.25,9257.9,9216.25,9241.45,1266785177,44877.3
26-APR-2023,9239.5,9270,9214.3,9264.1,1122982891,34795.24
27-APR-2023,9265.5,9321.3,9258.7,9313.95,1376674391,39438.09
28-APR-2023,9333.9,9414.65,9311.9,9404,1430474635,48232.6
02-MAY-2023,9437.6,9471.5,9427.55,9455,1418941426,41771.91
03-MAY-2023,9438.9,9452.6,9412.1,9436.35,1377858552,37527.24
04-MAY-2023,9437.5,9521.7,9430.45,9516,1311798471,39181.1
05-MAY-2023,9463.15,9506.9,9426.4,9434.05,1225810204,43141.24
08-MAY-2023,9459.05,9537.5,9450.85,9528.55,1186449610,40785.35
09-MAY-2023,9548.85,9574.75,9508.8,9527,1141718389,41602.71
10-MAY-2023,9550.6,9559.35,9496.65,9553.55,1041501911,36385.91
11-MAY-2023,9580.1,9590.35,9544.4,9558.85,1128034938,41492.57
12-MAY-2023,9550.85,9574.25,9504.45,9557.15,937196231,38075.63
15-MAY-2023,9567.65,9630.65,9546.75,9601.3,879444623,35070.61
16-MAY-2023,9621.35,9625.1,9550.65,9560.95,1219123204,39103.06
17-MAY-2023,9569.5,9572.7,9474.85,9511.7,1080434537,37144.89
18-MAY-2023,9562.85,9567.4,9461.4,9471.85,934856235,38596.29
19-MAY-2023,9495.8,9512.1,9425.05,9505,957979355,39242.26
22-MAY-2023,9506.6,9576.9,9494.2,9568,1002805203,43078.41
23-MAY-2023,9597.9,9626.05,9583.05,9593.8,934717659,45325.99
24-MAY-2023,9575.55,9621.95,9559.85,9573.9,955305322,44126.74
25-MAY-2023,9568.05,9607.35,9543.9,9598.7,1174083663,39772.72
26-MAY-2023,9619.75,9695.4,9606,9690.95,966902082,37921.62
29-MAY-2023,9751.2,9761.5,9730.6,9740.15,1069199339,35559.61
30-MAY-2023,9746.5,9771.1,9730.9,9755.65,886679385,37415.37
31-MAY-2023,9737.65,9740.15,9690.55,9724.8,2172440418,115672.06
01-JUN-2023,9746.15,9755.75,9700.7,9711.95,908154126,39922.4
02-JUN-2023,9745.4,9757.35,9715.4,9741.4,1046639124,39574.37
05-JUN-2023,9780.4,9793.35,9764.1,9769.2,938125358,36203.44
06-JUN-2023,9775.5,9787.9,9737.9,9776.4,786774025,36950.41
07-JUN-2023,9812.65,9856.65,9799,9850.35,1120978067,37936.46
08-JUN-2023,9857.4,9876.6,9789.9,9798.85,1391300822,41404.11
09-JUN-2023,9814.25,9822.85,9763.75,9769.3,959961839,36614.2
12-JUN-2023,9789.2,9808.2,9765.45,9796.65,834948149,30673.73
13-JUN-2023,9816.55,9874.55,9816.3,9868.8,1084186362,42199.67
14-JUN-2023,9887.55,9895.75,9857.3,9888.6,1276150322,37827.27
15-JUN-2023,9900.6,9919.65,9856.05,9868,1089466081,43465.6
16-JUN-2023,9891.7,9962.15,9885.2,9943.35,1131837837,49793.16
19-JUN-2023,9971.2,9978.8,9898.4,9913.9,1057768469,40342.52
20-JUN-2023,9917,9959.45,9874.15,9948.8,896548572,37895.28
21-JUN-2023,9974.1,9993.65,9947.9,9975.15,1164774528,42322.17
22-JUN-2023,9979,9985.8,9905.35,9912.4,1163987696,44083.86
23-JUN-2023,9900.85,9905.8,9830,9837.45,940628649,39112.97
26-JUN-2023,9839.15,9874.8,9827.2,9866.9,824422876,33487.17
27-JUN-2023,9898.15,9932.55,9887.75,9927.8,955164239,38038.93
